"filename", "language", "Python", "C++", "Ini", "JSON", "Makefile", "C#", "comment", "blank", "total"
"c:\Users\me\Documents\game\source\editing\editor_scene.cpp", "C++", 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\me\Documents\game\source\editing\editor_scene.h", "C++", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\me\Documents\game\source\main\b_main.cpp", "C++", 0, 50, 0, 0, 0, 0, 0, 13, 63
"c:\Users\me\Documents\game\source\music_execute\Common_Functions.h", "C++", 0, 84, 0, 0, 0, 0, 0, 16, 100
"c:\Users\me\Documents\game\source\music_execute\music1_on.cpp", "C++", 0, 99, 0, 0, 0, 0, 0, 21, 120
"c:\Users\me\Documents\game\source\play\note.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\me\Documents\game\source\play\note.h", "C++", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\me\Documents\game\source\play\play_scene.cpp", "C++", 0, 2646, 0, 0, 0, 0, 0, 464, 3110
"c:\Users\me\Documents\game\source\play\play_scene.h", "C++", 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\Users\me\Documents\game\source\vfx\hit_effect.cpp", "C++", 0, 219, 0, 0, 0, 0, 0, 31, 250
"c:\Users\me\Documents\game\source\vfx\hit_effect.h", "C++", 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\me\Documents\game\tool\NewAge_chart_tool.py", "Python", 82, 0, 0, 0, 0, 0, 0, 25, 107
"c:\Users\me\Documents\game\tool\cofing.ini", "Ini", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\me\Documents\game\tool\converter.py", "Python", 34, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Users\me\Documents\game\tool\fast_chart_tool.py", "Python", 54, 0, 0, 0, 0, 0, 0, 17, 71
"c:\Users\me\Documents\game\tool\run_tool.py", "Python", 17, 0, 0, 0, 0, 0, 0, 7, 24
"Total", "-", 187, 10039, 5, 538, 59, 4754, 588, 2414, 18584
